id,daun_menguning,bercak_coklat,daun_menggulung,pertumbuhan_terhambat,batang_busuk,bulir_hampa,bercak_putih,daun_kering,akar_busuk,anakan_berkurang,malai_tidak_keluar,bercak_oval,lendir_bakteri,hawar_daun,bau_busuk,penyakit
1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Blas
2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Blas
3,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Blas
4,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,Blas
5,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,Blas
6,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,Kresek
7,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,Kresek
8,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,Kresek
9,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,Kresek
10,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,Kresek
11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Tungro
12,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,Tungro
13,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Tungro
14,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,Tungro
15,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,Tungro
16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Hawar_Daun
17,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,Hawar_Daun
18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Hawar_Daun
19,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,Hawar_Daun
20,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,Hawar_Daun
21,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,Busuk_Batang
22,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,Busuk_Batang
23,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,Busuk_Batang
24,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,Busuk_Batang
25,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Busuk_Batang
26,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Busuk_Pelepah
27,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Busuk_Pelepah
28,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Busuk_Pelepah
29,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Busuk_Pelepah
30,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Busuk_Pelepah
31,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Blas
32,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,Blas
33,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,Blas
34,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,Kresek
35,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,Kresek
36,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,Tungro
37,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,Tungro
38,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,Hawar_Daun
39,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Hawar_Daun
40,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,Busuk_Batang
41,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,Busuk_Batang
42,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,Busuk_Pelepah
43,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Busuk_Pelepah
44,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,Blas
45,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,Blas
46,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,Kresek
47,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,Kresek
48,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Tungro
49,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,Tungro
50,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,Hawar_Daun
51,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,Hawar_Daun
52,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,Busuk_Batang
53,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,Busuk_Batang
54,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Busuk_Pelepah
55,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,Busuk_Pelepah
56,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Blas
57,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,Kresek
58,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,Tungro
59,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Hawar_Daun
60,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,Busuk_Batang
